"GP"|"Yes"|"35124948"|"66588253"
"GW"|"No "|"35124948"|"66588254"
"SP"|"No "|"35124948"|"66588255"
"SW"|"No "|"35124948"|"66588256"
"ML"|"No "|"35124949"|"66588257"
"SM"|"No "|"35124949"|"66588258"
"SC-SM"|"Yes"|"35124949"|"66588259"
"ML"|"No "|"35124950"|"66588260"
"SM"|"No "|"35124950"|"66588261"
"SC-SM"|"Yes"|"35124950"|"66588262"
"SM"|"No "|"35124951"|"66588263"
"SP-SM"|"No "|"35124951"|"66588264"
"SW-SM"|"No "|"35124951"|"66588265"
"SW-SC"|"Yes"|"35124951"|"66588266"
"ML"|"No "|"35124952"|"66588267"
"SM"|"No "|"35124952"|"66588268"
"SC-SM"|"Yes"|"35124952"|"66588269"
"PT"|"Yes"|"35124953"|"66588270"
"PT"|"Yes"|"35124954"|"66588271"
"PT"|"Yes"|"35124955"|"66588272"
"GM"|"No "|"35124956"|"66588273"
"ML"|"No "|"35124956"|"66588274"
"SM"|"Yes"|"35124956"|"66588275"
"ML"|"No "|"35124957"|"66588276"
"SM"|"Yes"|"35124957"|"66588277"
"ML"|"No "|"35124958"|"66588278"
"SM"|"Yes"|"35124958"|"66588279"
"GC-GM"|"No "|"35124960"|"66588280"
"GM"|"No "|"35124960"|"66588281"
"ML"|"No "|"35124960"|"66588282"
"SM"|"No "|"35124960"|"66588283"
"SC-SM"|"Yes"|"35124960"|"66588284"
"CL-ML"|"Yes"|"35124961"|"66588285"
"ML"|"No "|"35124961"|"66588286"
"OL"|"No "|"35124961"|"66588287"
"SM"|"No "|"35124961"|"66588288"
"CL-ML"|"No "|"35124962"|"66588289"
"GM"|"No "|"35124962"|"66588290"
"ML"|"No "|"35124962"|"66588291"
"SM"|"No "|"35124962"|"66588292"
"SC-SM"|"Yes"|"35124962"|"66588293"
"GC-GM"|"No "|"35124963"|"66588294"
"GM"|"No "|"35124963"|"66588295"
"ML"|"No "|"35124963"|"66588296"
"SM"|"No "|"35124963"|"66588297"
"SC-SM"|"Yes"|"35124963"|"66588298"
"PT"|"Yes"|"35124964"|"66588299"
"ML"|"No "|"35124965"|"66588300"
"SM"|"No "|"35124965"|"66588301"
"SC-SM"|"Yes"|"35124965"|"66588302"
"ML"|"No "|"35124966"|"66588303"
"SM"|"No "|"35124966"|"66588304"
"SC-SM"|"Yes"|"35124966"|"66588305"
"ML"|"No "|"35124967"|"66588306"
"SM"|"No "|"35124967"|"66588307"
"SC-SM"|"Yes"|"35124967"|"66588308"
"SM"|"No "|"35124968"|"66588309"
"SP-SM"|"No "|"35124968"|"66588310"
"SW-SM"|"No "|"35124968"|"66588311"
"SW-SC"|"Yes"|"35124968"|"66588312"
"PT"|"Yes"|"35124969"|"66588313"
"PT"|"Yes"|"35124970"|"66588314"
"GM"|"No "|"35124971"|"66588315"
"ML"|"No "|"35124971"|"66588316"
"SM"|"Yes"|"35124971"|"66588317"
"ML"|"No "|"35124972"|"66588318"
"SM"|"Yes"|"35124972"|"66588319"
"ML"|"No "|"35124973"|"66588320"
"SM"|"Yes"|"35124973"|"66588321"
"PT"|"Yes"|"35124986"|"66588345"
"ML"|"No "|"35124987"|"66588346"
"SM"|"No "|"35124987"|"66588347"
"SC-SM"|"Yes"|"35124987"|"66588348"
"ML"|"No "|"35124988"|"66588349"
"SM"|"No "|"35124988"|"66588350"
"SC-SM"|"Yes"|"35124988"|"66588351"
"ML"|"No "|"35124989"|"66588352"
"SM"|"No "|"35124989"|"66588353"
"SC-SM"|"Yes"|"35124989"|"66588354"
"SM"|"No "|"35124990"|"66588355"
"SP-SM"|"No "|"35124990"|"66588356"
"SW-SM"|"No "|"35124990"|"66588357"
"SW-SC"|"Yes"|"35124990"|"66588358"
"PT"|"Yes"|"35124991"|"66588359"
"ML"|"No "|"35124992"|"66588360"
"SM"|"No "|"35124992"|"66588361"
"SC-SM"|"Yes"|"35124992"|"66588362"
"ML"|"No "|"35124993"|"66588363"
"SM"|"No "|"35124993"|"66588364"
"SC-SM"|"Yes"|"35124993"|"66588365"
"ML"|"No "|"35124994"|"66588366"
"SM"|"No "|"35124994"|"66588367"
"SC-SM"|"Yes"|"35124994"|"66588368"
"SM"|"No "|"35124995"|"66588369"
"SP-SM"|"No "|"35124995"|"66588370"
"SW-SM"|"No "|"35124995"|"66588371"
"SW-SC"|"Yes"|"35124995"|"66588372"
"SM"|"No "|"35124996"|"66588373"
"SP-SM"|"No "|"35124996"|"66588374"
"SW-SM"|"No "|"35124996"|"66588375"
"SW-SC"|"Yes"|"35124996"|"66588376"
"PT"|"Yes"|"35124997"|"66588377"
"ML"|"No "|"35124998"|"66588378"
"SM"|"No "|"35124998"|"66588379"
"SC-SM"|"Yes"|"35124998"|"66588380"
"ML"|"No "|"35124999"|"66588381"
"SM"|"No "|"35124999"|"66588382"
"SC-SM"|"Yes"|"35124999"|"66588383"
"ML"|"No "|"35125000"|"66588384"
"SM"|"No "|"35125000"|"66588385"
"SC-SM"|"Yes"|"35125000"|"66588386"
"CL-ML"|"Yes"|"35125001"|"66588387"
"ML"|"No "|"35125001"|"66588388"
"OL"|"No "|"35125001"|"66588389"
"SM"|"No "|"35125001"|"66588390"
"CL-ML"|"No "|"35125002"|"66588391"
"GM"|"No "|"35125002"|"66588392"
"ML"|"No "|"35125002"|"66588393"
"SM"|"No "|"35125002"|"66588394"
"SC-SM"|"Yes"|"35125002"|"66588395"
"GC-GM"|"No "|"35125003"|"66588396"
"GM"|"No "|"35125003"|"66588397"
"ML"|"No "|"35125003"|"66588398"
"SM"|"No "|"35125003"|"66588399"
"SC-SM"|"Yes"|"35125003"|"66588400"
"GC-GM"|"No "|"35125004"|"66588401"
"GM"|"No "|"35125004"|"66588402"
"ML"|"No "|"35125004"|"66588403"
"SM"|"No "|"35125004"|"66588404"
"SC-SM"|"Yes"|"35125004"|"66588405"
"PT"|"Yes"|"35125014"|"66588439"
"PT"|"Yes"|"35125015"|"66588440"
"ML"|"No "|"35125016"|"66588441"
"SM"|"Yes"|"35125016"|"66588442"
"ML"|"No "|"35125017"|"66588443"
"SM"|"Yes"|"35125017"|"66588444"
"ML"|"No "|"35125018"|"66588445"
"SM"|"Yes"|"35125018"|"66588446"
"GM"|"No "|"35125019"|"66588447"
"SM"|"Yes"|"35125019"|"66588448"
"GM"|"No "|"35125020"|"66588449"
"GP-GM"|"No "|"35125020"|"66588450"
"SM"|"Yes"|"35125020"|"66588451"
"SP-SM"|"No "|"35125020"|"66588452"
"SC"|"No "|"35125021"|"66588453"
"SC-SM"|"Yes"|"35125021"|"66588454"
"SM"|"No "|"35125021"|"66588455"
"SC"|"No "|"35125022"|"66588456"
"SC-SM"|"Yes"|"35125022"|"66588457"
"SM"|"No "|"35125022"|"66588458"
"GM"|"No "|"35125023"|"66588459"
"GP-GM"|"No "|"35125023"|"66588460"
"SM"|"Yes"|"35125023"|"66588461"
"SP-SM"|"No "|"35125023"|"66588462"
"PT"|"Yes"|"35125024"|"66588463"
"PT"|"Yes"|"35125025"|"66588464"
"PT"|"Yes"|"35125026"|"66588465"
"GM"|"No "|"35125027"|"66588466"
"SM"|"No "|"35125027"|"66588467"
"SC-SM"|"Yes"|"35125027"|"66588468"
